chart_label,region,national_rank_of_accepting_candidate
unknown_year_A,North West - North West,1389
unknown_year_A,North West - North West,27
unknown_year_A,North West - North West,1084
unknown_year_A,North West - North West,665
unknown_year_A,North West - North West,1078
unknown_year_A,North West - North West,324
unknown_year_A,North West - North West,513
unknown_year_A,North West - North West,242
unknown_year_A,North West - North West,470
unknown_year_A,North West - North West,1774
unknown_year_A,North West - North West,867
unknown_year_A,North West - North West,765
unknown_year_A,North West - North West,589
unknown_year_A,North West - North West,986
unknown_year_A,North West - North West,584
unknown_year_A,North West - North West,511
unknown_year_A,North West - North West,793
unknown_year_A,North West - North West,417
unknown_year_A,North West - North West,566
unknown_year_A,North West - North West,674
unknown_year_A,North West - North West,577
unknown_year_A,North West - North West,1740
unknown_year_A,North West - North West,1793
unknown_year_A,North West - North West,474
unknown_year_A,North West - North West,1314
unknown_year_A,North West - North West,144
unknown_year_A,North West - North West,624
unknown_year_A,North West - North West,838
unknown_year_A,North West - North West,1384
unknown_year_A,North West - North West,824
unknown_year_A,North West - North West,1365
unknown_year_A,North West - North West,224
unknown_year_A,North West - North West,236
unknown_year_A,North West - North West,349
unknown_year_A,North West - North West,1888
unknown_year_A,North West - North West,1122
unknown_year_A,North West - North West,541
unknown_year_A,North West - North West,1854
